item,itemLabel,startDate,endDate
Q465493,Carlos María de Alvear,1824-10-09,1835
Q465493,Carlos María de Alvear,1838-10-11,""
Q5831380,Emilio de Alvear,1864-11-04,""
Q254041,Domingo Faustino Sarmiento,1863-12-04,1868
Q5397672,Manuel Rafael García Aguirre,1868-10-16,""
Q5721410,Bartolomé Mitre Vedia,1880,""
Q456235,Luis Lorenzo Domínguez,1881,""
,Carlos Carranza,1884,""
Q2521958,Vicente G. Quesada,1885-05-22,""
Q383015,Roque Sáenz Peña,1890,""
Q5853865,Rafael García Mansilla,1892,""
Q724871,Estanislao Zeballos,1893-09-12,""
,Vicente J. Domínguez,1895-11,""
Q16494089,Martín García Mérou,1896-06-26,""
Q5700403,Antonio del Viso,1899-12,""
Q1291224,Eduardo Wilde,1900-05-05,""
Q5700403,Antonio del Viso,1901-04,""
Q16494089,Martín García Mérou,1901-08,""
Q16562571,Epifanio Portela,1905-05-24,""
Q6115964,Rómulo Naón,1911-04-11,""
Q6115964,Rómulo Naón,1914-12-03,""
Q5860800,Tomás Le Breton,1919-03-03,""
Q17274548,Felipe Aja Espil,1922-06-17,""
Q1627240,Honorio Pueyrredon,1924-03-10,""
,Conrado Traverso,1928-01-13,""
Q17274548,Felipe Aja Espil,1928-03-26,""
,Julian Enciso,1928-07-30,""
Q385505,Manuel Malbrán,1928-09-07,""
,Julian Enciso,1928-11-17,""
Q385505,Manuel Malbrán,1930-11-21,""
Q17274548,Felipe Aja Espil,1931-07-07,""
Q377722,Adrián César Escobar,1944-02-03,""
,Sin representación,1944-02-25,""
,Rodolfo Garcia Arias,1945-04-09,""
Q88188771,Oscar Ibarra García,1945-05-04,""
Q1876527,Luis Santiago Luti,1945-09-21,""
Q6053892,Oscar Ivanissevich,1946-09-20,""
,Martín Luis Drago,1948-02-02,""
Q1688025,Jerónimo Remorino,1948-06-18,""
Q5898527,Hipólito Jesús Paz,1951-08-24,""
Q5658174,Adolfo Ángel Vicchi,1955-12-09,1957-06
Q20022050,Mauricio Luis Yadarola,1957-07-25,""
Q88109991,César Barros Hurtado,1958-06-10,""
Q5831060,Emilio Donato del Carril,1959-09-29,""
Q2159408,Roberto Alemann,1962-06-01,""
Q88190903,Norberto Miguel Barrenechea,1964-06-17,""
Q8076665,Álvaro Alsogaray,1966-09-20,""
Q42290947,Eduardo Alejandro Roca,1968-10-11,""
Q88194926,Pedro Eduardo Real,1970-01-01,""
,Robert H. Tiscornia,1971-07-21,""
Q28028589,Carlos Manuel Muñiz,1971-10-19,""
,Diego Felipe Medus,1973-05-31,""
Q4714628,Alejandro José Luis Orfila,1973-11-15,""
Q87816113,Rafael Maximiliano Vázquez,1975-07-11,""
Q87775434,Arnaldo T. Musich,1976-07-15,""
Q88959590,Gastón de Prat Gay,1976-11-18,""
Q42902900,Jorge Antonio Aja Espil,1976-12-23,""
,Roberto E. Dalton,1981-06-13,""
Q87770154,Esteban Arpad Takacs,1981-09-02,""
Q16593947,Lucio García del Solar,1982-09-20,""
Q5379731,Enrique Candioti,1986-05-01,""
Q5615655,Guido Di Tella,1989-09-21,""
Q5751229,Carlos Ortiz de Rozas,1991-03-28,""
Q6101227,Raúl Granillo Ocampo,1993-07-28,""
Q25983942,Diego Ramiro Guelar,1997,""
Q84498098,Guillermo Enrique González,2000-01-25,""
Q25983942,Diego Ramiro Guelar,2002-02-13,""
Q5818962,Eduardo Amadeo,2003-01-02,""
Q5575797,José Octavio Bordón,2003-07-21,""
Q58073,Héctor Timerman,2008-03-13,""
Q4723740,Alfredo Chiaradía,2010-11-01,""
Q6277681,Jorge Argüello,2012-01-05,""
Q21855134,Maria Cecilia Nahón,2013-02-19,2015-12-10
Q6553522,Martín Lousteau,2015-12-10,""
Q42609962,Fernando Oris de Roa,2018-01-11,2019-12-10
Q6277681,Jorge Argüello,2020-02-06,""
