province,provinceLabel,office,officeLabel,governor,governorLabel,start
Q1486,Buenos Aires,Q21693118,Head of Government of the Autonomous City of Buenos Aires,Q2843714,Horacio Rodríguez Larreta,2015-12-09
Q44754,Buenos Aires Province,Q1425955,Governor of Buenos Aires Province,Q3754443,Axel Kicillof,2019-12-11
Q44756,Catamarca Province,Q16571930,governor of the province of Catamarca,Q19760254,Raúl Jalil,2019-12-10
Q44757,Chaco Province,Q6352224,Governor of Chaco Province,Q4837917,Jorge Capitanich,2019-12-10
Q45007,Chubut Province,Q23978846,Governor of Chubut Province,Q42451221,Mariano Arcioni,2017-11-01
Q44758,Corrientes,Q23979143,Governor of Corrientes province,Q21856293,Gustavo Adolfo Valdés,2017-12-10
Q44759,Córdoba Province,Q3249940,Governor of Córdoba,Q1710644,Juan Schiaretti,2015-12-10
Q44762,Entre Ríos Province,Q23979151,Governor of Entre Ríos,Q21105472,Gustavo Bordet,2015-12-11
Q44761,Formosa Province,Q23979499,Governor of Formosa Province,Q1524240,Gildo Insfrán,1995-12-10
Q44795,La Pampa,Q6352202,"Governor of La Pampa Province, Argentina",Q21856301,Sergio Raúl Ziliotto,2019-12-10
Q44796,La Rioja Province,Q4122443,Governor of La Rioja Province,Q72707787,Ricardo Quintela,2019-12-11
Q44797,Mendoza,Q5589678,Governor of Mendoza,Q29121872,Rodolfo Suárez,2019-12-10
Q44798,Misiones Province,Q23979210,Governor of Misiones province,Q21279728,Oscar Herrera Ahuad,2019-12-10
Q44800,Neuquén Province,Q5881767,Governor of Neuquén province,Q20016443,Omar Gutiérrez,2015-12-10
Q44764,Province of Jujuy,Q23979520,Governor of Jujuy Province,Q5483783,Gerardo Morales,2015-12-10
Q44802,Río Negro Province,Q23979080,Governor of Río Negro Province,Q63119899,Arabela Carreras,2019-12-10
Q44803,Salta Province,Q23979539,Governor of Salta Province,Q21002940,Gustavo Sáenz,2019-12-10
Q44805,San Juan Province,Q23979097,Governor of San Juan province,Q20735856,Sergio Uñac,2015-12-10
Q44818,San Luis Province,Q23978750,Governor of San Luis province,Q4712180,Alberto Rodríguez Saá,2015-12-10
Q44821,Santa Cruz Province,Q23978757,Governor of Santa Cruz province,Q440580,Alicia Kirchner,2015-12-10
Q44823,Santa Fe Province,Q5589713,Governor of Santa Fe Province,Q20015616,Omar Perotti,2019-12-11
Q44827,Santiago del Estero Province,Q23979135,Governor of Santiago del Estero,Q4838698,Gerardo Zamora,2017-12-10
Q44832,"Tierra del Fuego, Antarctica and South Atlantic Islands province",Q23979073,Governor of Tierra del Fuego,Q64686950,Gustavo Melella,2019-12-17
Q44829,Tucumán Province,Q23979122,Governor of Tucumán Province,Q108611599,Osvaldo Jaldo,2021-09-20
