item,itemLabel,startDate,endDate,sourceDate,psid
Q25983942,Diego Ramiro Guelar,2002-02-13,2003-02-14,,Q25983942-F7D3C185-582D-4840-94D5-B4B8A643C472
Q5818962,Eduardo Amadeo,2003-01-02,2003-02-26,,Q5818962-0EF09601-9A91-44DA-B30D-A7EF560B4297
Q5575797,José Octavio Bordón,2003-05-25,2007-12-10,,Q5575797-3FDFF661-45F1-4959-BC3E-D623FF0D076A
Q58073,Héctor Timerman,2007-12-10,2010-06-18,,Q58073-F1046C84-EF90-4BDB-B7CD-B9D638489552
Q4723740,Alfredo Chiaradía,2010-12-10,2011-12-01,,Q4723740-34CDAF74-7794-4E4F-9CB3-F7A667530D0F
Q6277681,Jorge Argüello,2011-12-01,2013-01-08,,Q6277681-97D687D4-DA95-4367-8760-21AB17749D44
Q21855134,Maria Cecilia Nahón,2013-02-19,2015-12-10,2022-04-13,Q21855134-7369EFE3-B07A-4F18-95C1-3099A9399284
Q6553522,Martín Lousteau,2015-12-10,2017-04-03,,Q6553522-6e43b381-4109-67bc-5a38-32852cb20a85
Q42609962,Fernando Oris de Roa,2018-01-11,2019-12-10,2022-04-13,Q42609962-1DADCBE3-4A4C-463E-ACFF-6D1EF66905EC
Q6277681,Jorge Argüello,2019-12-10,,,Q6277681-A631C016-C32E-406B-9191-B5DE8690B27D
